"","saison_annee","saison","journee","date","time","home","score","away","home_score","away_score"
"1","1950/1951",19,1,"Samedi 26 août 1950","-","Girondins de Bordeaux","2 - 0","OGC Nice",2,0
"2","1950/1951",19,1,"Dimanche 27 août 1950","-","Stade Rennais FC","6 - 0","AS Saint-Etienne",6,0
"3","1950/1951",19,1,"Dimanche 27 août 1950","-","FC Sète 34","5 - 2","Stade de Reims",5,2
"4","1950/1951",19,1,"Dimanche 27 août 1950","-","RC Paris","4 - 1","FC Sochaux-Montbéliard",4,1
"5","1950/1951",19,1,"Dimanche 27 août 1950","-","RC Lens","0 - 2","FC Nancy",0,2
"6","1950/1951",19,1,"Dimanche 27 août 1950","-","RC Strasbourg Alsace","2 - 1","Nîmes Olympique",2,1
"7","1950/1951",19,1,"Dimanche 27 août 1950","-","Havre AC","1 - 0","Olympique de Marseille",1,0
"8","1950/1951",19,1,"Dimanche 27 août 1950","-","LOSC","1 - 1","Red Star  FC",1,1
"9","1950/1951",19,1,"Dimanche 27 août 1950","-","Toulouse FC","1 - 1","CO Roubaix-Tourcoing",1,1
"10","1950/1951",19,2,"Dimanche 3 septembre 1950","-","OGC Nice","3 - 6","Stade Rennais FC",3,6
"11","1950/1951",19,2,"Dimanche 3 septembre 1950","-","CO Roubaix-Tourcoing","1 - 4","RC Paris",1,4
"12","1950/1951",19,2,"Dimanche 3 septembre 1950","-","FC Sochaux-Montbéliard","0 - 4","LOSC",0,4
"13","1950/1951",19,2,"Dimanche 3 septembre 1950","-","FC Nancy","2 - 2","FC Sète 34",2,2
"14","1950/1951",19,2,"Dimanche 3 septembre 1950","-","Nîmes Olympique","2 - 2","Girondins de Bordeaux",2,2
"15","1950/1951",19,2,"Dimanche 3 septembre 1950","-","Red Star  FC","0 - 0","RC Strasbourg Alsace",0,0
"16","1950/1951",19,2,"Dimanche 3 septembre 1950","-","Olympique de Marseille","3 - 1","Toulouse FC",3,1
"17","1950/1951",19,2,"Dimanche 3 septembre 1950","-","Stade de Reims","2 - 0","Havre AC",2,0
"18","1950/1951",19,2,"Dimanche 3 septembre 1950","-","AS Saint-Etienne","4 - 1","RC Lens",4,1
"19","1950/1951",19,3,"Dimanche 10 septembre 1950","-","Stade Rennais FC","6 - 0","Toulouse FC",6,0
"20","1950/1951",19,3,"Dimanche 10 septembre 1950","-","Girondins de Bordeaux","0 - 3","RC Paris",0,3
"21","1950/1951",19,3,"Dimanche 10 septembre 1950","-","LOSC","2 - 1","Olympique de Marseille",2,1
"22","1950/1951",19,3,"Dimanche 10 septembre 1950","-","RC Strasbourg Alsace","3 - 1","CO Roubaix-Tourcoing",3,1
"23","1950/1951",19,3,"Dimanche 10 septembre 1950","-","FC Sète 34","1 - 1","FC Sochaux-Montbéliard",1,1
"24","1950/1951",19,3,"Dimanche 10 septembre 1950","-","Nîmes Olympique","3 - 0","FC Nancy",3,0
"25","1950/1951",19,3,"Dimanche 10 septembre 1950","-","Red Star  FC","1 - 1","Stade de Reims",1,1
"26","1950/1951",19,3,"Dimanche 10 septembre 1950","-","OGC Nice","0 - 0","AS Saint-Etienne",0,0
"27","1950/1951",19,3,"Dimanche 10 septembre 1950","-","RC Lens","2 - 1","Havre AC",2,1
"28","1950/1951",19,4,"Dimanche 17 septembre 1950","-","RC Paris","4 - 2","Stade Rennais FC",4,2
"29","1950/1951",19,4,"Dimanche 17 septembre 1950","-","Olympique de Marseille","2 - 2","RC Strasbourg Alsace",2,2
"30","1950/1951",19,4,"Dimanche 17 septembre 1950","-","Stade de Reims","4 - 3","LOSC",4,3
"31","1950/1951",19,4,"Dimanche 17 septembre 1950","-","FC Nancy","2 - 1","Red Star  FC",2,1
"32","1950/1951",19,4,"Dimanche 17 septembre 1950","-","Havre AC","1 - 0","FC Sète 34",1,0
"33","1950/1951",19,4,"Dimanche 17 septembre 1950","-","AS Saint-Etienne","1 - 1","Nîmes Olympique",1,1
"34","1950/1951",19,4,"Dimanche 17 septembre 1950","-","CO Roubaix-Tourcoing","1 - 1","Girondins de Bordeaux",1,1
"35","1950/1951",19,4,"Dimanche 17 septembre 1950","-","FC Sochaux-Montbéliard","3 - 2","OGC Nice",3,2
"36","1950/1951",19,4,"Dimanche 17 septembre 1950","-","Toulouse FC","3 - 2","RC Lens",3,2
"37","1950/1951",19,5,"Jeudi 21 septembre 1950","-","LOSC","1 - 1","RC Paris",1,1
"38","1950/1951",19,5,"Jeudi 21 septembre 1950","-","Stade Rennais FC","2 - 0","FC Sète 34",2,0
"39","1950/1951",19,5,"Jeudi 21 septembre 1950","-","RC Strasbourg Alsace","6 - 1","Toulouse FC",6,1
"40","1950/1951",19,5,"Jeudi 21 septembre 1950","-","OGC Nice","1 - 2","Stade de Reims",1,2
"41","1950/1951",19,5,"Jeudi 21 septembre 1950","-","Nîmes Olympique","2 - 1","Olympique de Marseille",2,1
"42","1950/1951",19,5,"Jeudi 21 septembre 1950","-","Girondins de Bordeaux","0 - 1","Havre AC",0,1
"43","1950/1951",19,5,"Jeudi 21 septembre 1950","-","AS Saint-Etienne","3 - 1","FC Nancy",3,1
"44","1950/1951",19,5,"Jeudi 21 septembre 1950","-","Red Star  FC","1 - 0","CO Roubaix-Tourcoing",1,0
"45","1950/1951",19,5,"Jeudi 21 septembre 1950","-","RC Lens","3 - 1","FC Sochaux-Montbéliard",3,1
"46","1950/1951",19,6,"Dimanche 24 septembre 1950","-","RC Lens","1 - 2","Stade Rennais FC",1,2
"47","1950/1951",19,6,"Dimanche 24 septembre 1950","-","RC Paris","1 - 1","Red Star  FC",1,1
"48","1950/1951",19,6,"Dimanche 24 septembre 1950","-","Havre AC","0 - 1","RC Strasbourg Alsace",0,1
"49","1950/1951",19,6,"Dimanche 24 septembre 1950","-","Toulouse FC","0 - 2","LOSC",0,2
"50","1950/1951",19,6,"Dimanche 24 septembre 1950","-","Stade de Reims","0 - 0","AS Saint-Etienne",0,0
"51","1950/1951",19,6,"Dimanche 24 septembre 1950","-","CO Roubaix-Tourcoing","2 - 0","Nîmes Olympique",2,0
"52","1950/1951",19,6,"Dimanche 24 septembre 1950","-","FC Sète 34","1 - 0","Girondins de Bordeaux",1,0
"53","1950/1951",19,6,"Dimanche 24 septembre 1950","-","FC Sochaux-Montbéliard","3 - 3","FC Nancy",3,3
"54","1950/1951",19,6,"Dimanche 24 septembre 1950","-","Olympique de Marseille","3 - 0","OGC Nice",3,0
"55","1950/1951",19,7,"Dimanche 1 octobre 1950","-","RC Paris","2 - 4","RC Strasbourg Alsace",2,4
"56","1950/1951",19,7,"Dimanche 1 octobre 1950","-","Havre AC","3 - 1","Stade Rennais FC",3,1
"57","1950/1951",19,7,"Dimanche 1 octobre 1950","-","Stade de Reims","1 - 1","Nîmes Olympique",1,1
"58","1950/1951",19,7,"Dimanche 1 octobre 1950","-","FC Sochaux-Montbéliard","0 - 2","AS Saint-Etienne",0,2
"59","1950/1951",19,7,"Dimanche 1 octobre 1950","-","CO Roubaix-Tourcoing","3 - 0","LOSC",3,0
"60","1950/1951",19,7,"Dimanche 1 octobre 1950","-","FC Sète 34","1 - 1","RC Lens",1,1
